date,city,store,product_category,unit_price,quantity,total_sales,year,month
2023-04-13,Stuttgart,REWE,Beverages,3.79,18,68.22,2023,4
2024-03-11,Frankfurt,Aldi,Snacks,1.75,19,33.25,2024,3
2023-09-28,Leipzig,Edeka,Produce,4.61,11,50.71,2023,9
2023-04-17,Munich,Aldi,Household,2.44,2,4.88,2023,4
2023-03-13,Stuttgart,Edeka,Beverages,4.84,15,72.6,2023,3
2024-12-01,Hamburg,REWE,Snacks,2.77,19,52.63,2024,12
2023-01-21,Frankfurt,REWE,Snacks,3.04,14,42.56,2023,1
2024-09-06,Hamburg,Edeka,Dairy,4.1,15,61.5,2024,9
2023-05-02,Leipzig,REWE,Snacks,1.98,16,31.68,2023,5
2024-04-11,Leipzig,Edeka,Beverages,4.38,18,78.84,2024,4
2023-08-03,Leipzig,Lidl,Beverages,3.88,16,62.08,2023,8
2023-11-27,Stuttgart,Edeka,Bakery,2.69,17,45.73,2023,11
2024-04-03,Leipzig,Edeka,Beverages,1.12,7,7.84,2024,4
2023-03-29,Stuttgart,Lidl,Produce,4.83,10,48.3,2023,3
2024-01-08,Cologne,REWE,Bakery,1.32,1,1.32,2024,1
2023-04-10,Berlin,REWE,Snacks,1.86,8,14.88,2023,4
2024-10-25,Cologne,REWE,Bakery,3.04,18,54.72,2024,10
2023-05-11,Leipzig,Aldi,Produce,1.46,12,17.52,2023,5
2024-10-23,Berlin,Aldi,Bakery,1.17,6,7.02,2024,10
2023-11-05,Leipzig,Edeka,Produce,4.53,2,9.06,2023,11
2023-12-10,Leipzig,Edeka,Snacks,2.33,4,9.32,2023,12
2024-05-06,Munich,Edeka,Bakery,1.23,11,13.53,2024,5
2024-02-18,Frankfurt,Lidl,Beverages,5.37,12,64.44,2024,2
2024-01-21,Munich,Lidl,Beverages,1.94,11,21.34,2024,1
2023-07-11,Berlin,Aldi,Produce,3.46,7,24.22,2023,7
2023-10-04,Stuttgart,Lidl,Produce,4.35,18,78.3,2023,10
2023-06-10,Leipzig,Edeka,Produce,3.29,1,3.29,2023,6
2024-04-04,Cologne,Lidl,Household,2.09,6,12.54,2024,4
2023-11-10,Leipzig,Edeka,Snacks,2.52,2,5.04,2023,11
2023-01-22,Berlin,REWE,Household,9.38,7,65.66,2023,1
2023-09-10,Leipzig,REWE,Produce,2.88,2,5.76,2023,9
2024-07-14,Stuttgart,Aldi,Beverages,2.53,18,45.54,2024,7
2024-04-19,Munich,Edeka,Beverages,4.13,8,33.04,2024,4
2023-02-28,Stuttgart,REWE,Produce,0.57,1,0.57,2023,2
2024-05-25,Stuttgart,Edeka,Dairy,2.72,16,43.52,2024,5
2024-11-12,Munich,Lidl,Household,6.27,9,56.43,2024,11
2024-04-20,Cologne,REWE,Produce,0.72,14,10.08,2024,4
2024-11-30,Leipzig,Lidl,Dairy,1.77,1,1.77,2024,11
2023-07-09,Stuttgart,Edeka,Bakery,3.48,18,62.64,2023,7
2024-11-17,Cologne,Aldi,Bakery,1.63,6,9.78,2024,11
2024-07-16,Stuttgart,REWE,Beverages,3.36,3,10.08,2024,7
2024-07-20,Stuttgart,Aldi,Bakery,2.61,18,46.98,2024,7
2023-09-01,Munich,REWE,Bakery,1.72,5,8.6,2023,9
2024-05-19,Berlin,REWE,Bakery,2.54,7,17.78,2024,5
2023-05-11,Leipzig,REWE,Snacks,3.38,18,60.84,2023,5
2024-04-29,Berlin,Aldi,Snacks,1.22,1,1.22,2024,4
2024-10-08,Frankfurt,REWE,Household,13.6,5,68.0,2024,10
2023-01-21,Munich,Lidl,Produce,3.03,16,48.48,2023,1
2023-06-16,Frankfurt,Edeka,Dairy,3.68,5,18.4,2023,6
2023-10-01,Stuttgart,REWE,Beverages,4.0,14,56.0,2023,10
2024-01-23,Munich,REWE,Household,5.97,10,59.7,2024,1
2024-08-23,Frankfurt,Lidl,Household,9.47,3,28.41,2024,8
2023-11-12,Hamburg,Aldi,Snacks,1.89,13,24.57,2023,11
2023-01-14,Berlin,Aldi,Snacks,2.36,5,11.8,2023,1
2023-08-30,Berlin,Lidl,Household,9.35,16,149.6,2023,8
2023-12-12,Hamburg,REWE,Beverages,4.39,15,65.85,2023,12
2024-07-18,Cologne,Lidl,Household,11.43,3,34.29,2024,7
2023-12-06,Hamburg,Lidl,Snacks,2.23,10,22.3,2023,12
2023-04-02,Leipzig,Edeka,Beverages,5.05,10,50.5,2023,4
2024-01-02,Berlin,Edeka,Produce,3.59,3,10.77,2024,1
2024-03-30,Leipzig,REWE,Produce,1.64,20,32.8,2024,3
2024-03-03,Munich,Lidl,Household,14.2,1,14.2,2024,3
2024-05-23,Frankfurt,Aldi,Bakery,1.03,8,8.24,2024,5
2023-02-04,Berlin,Aldi,Beverages,4.17,16,66.72,2023,2
2023-07-25,Leipzig,Edeka,Beverages,4.06,10,40.6,2023,7
2023-03-22,Hamburg,Aldi,Produce,2.5,2,5.0,2023,3
2024-07-15,Munich,Lidl,Snacks,2.04,10,20.4,2024,7
2024-01-23,Berlin,Edeka,Beverages,4.89,8,39.12,2024,1
2023-01-02,Hamburg,Edeka,Household,11.39,11,125.29,2023,1
2024-01-25,Leipzig,REWE,Beverages,3.07,7,21.49,2024,1
2024-07-19,Berlin,Edeka,Snacks,1.3,19,24.7,2024,7
2023-04-16,Hamburg,Edeka,Produce,0.78,1,0.78,2023,4
2024-04-21,Stuttgart,Aldi,Beverages,4.62,2,9.24,2024,4
2024-12-03,Hamburg,Edeka,Beverages,4.48,7,31.36,2024,12
2024-02-06,Berlin,Edeka,Snacks,1.5,20,30.0,2024,2
2024-12-30,Munich,REWE,Bakery,3.85,16,61.6,2024,12
2024-07-09,Berlin,REWE,Snacks,2.52,14,35.28,2024,7
2023-06-11,Berlin,Edeka,Household,10.66,1,10.66,2023,6
2023-07-21,Stuttgart,Aldi,Snacks,2.28,13,29.64,2023,7
2023-09-27,Munich,Lidl,Bakery,2.87,7,20.09,2023,9
2023-09-28,Stuttgart,Aldi,Beverages,6.0,2,12.0,2023,9
2024-03-31,Berlin,Lidl,Bakery,3.36,19,63.84,2024,3
2024-04-06,Stuttgart,REWE,Dairy,2.36,3,7.08,2024,4
2024-12-27,Frankfurt,Edeka,Bakery,1.42,2,2.84,2024,12
2023-09-09,Frankfurt,Aldi,Produce,3.89,8,31.12,2023,9
2024-12-02,Frankfurt,Aldi,Beverages,5.4,20,108.0,2024,12
2023-10-23,Hamburg,Lidl,Dairy,2.73,8,21.84,2023,10
2024-12-25,Cologne,Lidl,Dairy,4.22,11,46.42,2024,12
2024-12-20,Leipzig,Edeka,Bakery,2.59,1,2.59,2024,12
2023-12-04,Stuttgart,Edeka,Dairy,1.6,4,6.4,2023,12
2023-02-22,Berlin,REWE,Household,7.54,8,60.32,2023,2
2023-08-05,Cologne,Edeka,Beverages,3.11,6,18.66,2023,8
2023-07-07,Stuttgart,Aldi,Beverages,1.87,20,37.4,2023,7
2024-01-15,Frankfurt,Aldi,Snacks,2.63,9,23.67,2024,1
2024-05-07,Leipzig,Aldi,Snacks,3.06,20,61.2,2024,5
2023-02-10,Munich,Lidl,Household,4.72,18,84.96,2023,2
2023-06-06,Frankfurt,Edeka,Produce,3.96,3,11.88,2023,6
2023-01-15,Leipzig,Edeka,Household,3.89,14,54.46,2023,1
2023-03-06,Berlin,Lidl,Bakery,1.86,11,20.46,2023,3
2024-06-04,Cologne,Aldi,Dairy,3.54,8,28.32,2024,6
2023-12-10,Cologne,Lidl,Snacks,1.82,15,27.3,2023,12
2023-05-09,Stuttgart,REWE,Beverages,1.04,4,4.16,2023,5
2024-10-09,Hamburg,Aldi,Household,12.59,8,100.72,2024,10
2024-04-16,Munich,Aldi,Dairy,1.63,5,8.15,2024,4
2023-03-04,Leipzig,REWE,Bakery,3.54,5,17.7,2023,3
2023-05-19,Frankfurt,Aldi,Dairy,1.74,19,33.06,2023,5
2024-05-13,Leipzig,Aldi,Dairy,1.74,20,34.8,2024,5
2024-08-15,Leipzig,Edeka,Produce,4.48,6,26.88,2024,8
2024-01-27,Munich,Aldi,Bakery,1.92,19,36.48,2024,1
2024-11-05,Berlin,Aldi,Dairy,3.27,2,6.54,2024,11
2024-02-23,Hamburg,Lidl,Beverages,2.79,12,33.48,2024,2
